subject,gender,age,recall,n2,n3,n4,survey,order,condition,subdesign,structure,distance,item,raw.judgment,zscores
2,F,22,2.7,1.04,1.04,0.78,4b,18,ADJ.non.ma,adj,non,matrix,ADJ.non.ma.12,140,0.831905676
2,F,22,2.7,1.04,1.04,0.78,4b,44,ADJ.non.ma,adj,non,matrix,ADJ.non.ma.16,180,1.813324354
2,F,22,2.7,1.04,1.04,0.78,4b,56,agr.pl,agr,pl,,agr.pl.03,70,-0.88557701
2,F,22,2.7,1.04,1.04,0.78,4b,83,agr.pl,agr,pl,,agr.pl.07,110,0.095841668
2,F,22,2.7,1.04,1.04,0.78,4b,24,agr.pl,agr,pl,,agr.pl.11,55,-1.253609014
2,F,22,2.7,1.04,1.04,0.78,4b,42,agr.pl,agr,pl,,agr.pl.15,65,-1.008254345
2,F,22,2.7,1.04,1.04,0.78,4b,67,agr.sg,agr,sg,,agr.sg.04,165,1.44529235
2,F,22,2.7,1.04,1.04,0.78,4b,73,agr.sg,agr,sg,,agr.sg.08,115,0.218519003
2,F,22,2.7,1.04,1.04,0.78,4b,11,agr.sg,agr,sg,,agr.sg.12,70,-0.88557701
2,F,22,2.7,1.04,1.04,0.78,4b,27,agr.sg,agr,sg,,agr.sg.16,65,-1.008254345
2,F,22,2.7,1.04,1.04,0.78,4b,65,CE.all,ce,all,,CE.all.04,90,-0.394867671
2,F,22,2.7,1.04,1.04,0.78,4b,87,CE.all,ce,all,,CE.all.08,75,-0.762899675
2,F,22,2.7,1.04,1.04,0.78,4b,6,CE.all,ce,all,,CE.all.12,110,0.095841668
2,F,22,2.7,1.04,1.04,0.78,4b,39,CE.all,ce,all,,CE.all.16,35,-1.744318353
2,F,22,2.7,1.04,1.04,0.78,4b,58,CE.vp1,ce,vp1,,CE.vp1.03,55,-1.253609014
2,F,22,2.7,1.04,1.04,0.78,4b,94,CE.vp1,ce,vp1,,CE.vp1.07,110,0.095841668
2,F,22,2.7,1.04,1.04,0.78,4b,13,CE.vp1,ce,vp1,,CE.vp1.11,75,-0.762899675
2,F,22,2.7,1.04,1.04,0.78,4b,29,CE.vp1,ce,vp1,,CE.vp1.15,45,-1.498963684
2,F,22,2.7,1.04,1.04,0.78,4b,70,CE.vp2,ce,vp2,,CE.vp2.02,110,0.095841668
2,F,22,2.7,1.04,1.04,0.78,4b,74,CE.vp2,ce,vp2,,CE.vp2.06,95,-0.272190336
2,F,22,2.7,1.04,1.04,0.78,4b,16,CE.vp2,ce,vp2,,CE.vp2.10,125,0.463873672
2,F,22,2.7,1.04,1.04,0.78,4b,47,CE.vp2,ce,vp2,,CE.vp2.14,125,0.463873672
2,F,22,2.7,1.04,1.04,0.78,4b,53,CE.vp3,ce,vp3,,CE.vp3.01,65,-1.008254345
2,F,22,2.7,1.04,1.04,0.78,4b,91,CE.vp3,ce,vp3,,CE.vp3.05,110,0.095841668
2,F,22,2.7,1.04,1.04,0.78,4b,21,CE.vp3,ce,vp3,,CE.vp3.09,45,-1.498963684
2,F,22,2.7,1.04,1.04,0.78,4b,45,CE.vp3,ce,vp3,,CE.vp3.13,110,0.095841668
2,F,22,2.7,1.04,1.04,0.78,4b,50,ILL.non,ill,non,,ILL.non.04,140,0.831905676
2,F,22,2.7,1.04,1.04,0.78,4b,88,ILL.non,ill,non,,ILL.non.08,120,0.341196337
2,F,22,2.7,1.04,1.04,0.78,4b,4,ILL.non,ill,non,,ILL.non.12,75,-0.762899675
2,F,22,2.7,1.04,1.04,0.78,4b,31,ILL.non,ill,non,,ILL.non.16,125,0.463873672
2,F,22,2.7,1.04,1.04,0.78,4b,68,ILL.rep,ill,rep,,ILL.rep.04,170,1.567969685
2,F,22,2.7,1.04,1.04,0.78,4b,81,ILL.rep,ill,rep,,ILL.rep.08,115,0.218519003
2,F,22,2.7,1.04,1.04,0.78,4b,17,ILL.rep,ill,rep,,ILL.rep.12,130,0.586551007
2,F,22,2.7,1.04,1.04,0.78,4b,35,ILL.rep,ill,rep,,ILL.rep.16,110,0.095841668
2,F,22,2.7,1.04,1.04,0.78,4b,60,NP.isl.em,np,island,embedded,NP.isl.em.01,110,0.095841668
2,F,22,2.7,1.04,1.04,0.78,4b,79,NP.isl.em,np,island,embedded,NP.isl.em.05,60,-1.13093168
2,F,22,2.7,1.04,1.04,0.78,4b,1,NP.isl.em,np,island,embedded,NP.isl.em.09,60,-1.13093168
2,F,22,2.7,1.04,1.04,0.78,4b,33,NP.isl.em,np,island,embedded,NP.isl.em.13,75,-0.762899675
2,F,22,2.7,1.04,1.04,0.78,4b,64,NP.isl.ma,np,island,matrix,NP.isl.ma.02,195,2.181356359
2,F,22,2.7,1.04,1.04,0.78,4b,85,NP.isl.ma,np,island,matrix,NP.isl.ma.06,80,-0.640222341
2,F,22,2.7,1.04,1.04,0.78,4b,8,NP.isl.ma,np,island,matrix,NP.isl.ma.10,120,0.341196337
2,F,22,2.7,1.04,1.04,0.78,4b,36,NP.isl.ma,np,island,matrix,NP.isl.ma.14,120,0.341196337
2,F,22,2.7,1.04,1.04,0.78,4b,54,NP.non.em,np,non,embedded,NP.non.em.03,120,0.341196337
2,F,22,2.7,1.04,1.04,0.78,4b,96,NP.non.em,np,non,embedded,NP.non.em.07,200,2.304033693
2,F,22,2.7,1.04,1.04,0.78,4b,23,NP.non.em,np,non,embedded,NP.non.em.11,50,-1.376286349
2,F,22,2.7,1.04,1.04,0.78,4b,46,NP.non.em,np,non,embedded,NP.non.em.15,115,0.218519003
2,F,22,2.7,1.04,1.04,0.78,4b,69,NP.non.ma,np,non,matrix,NP.non.ma.04,180,1.813324354
2,F,22,2.7,1.04,1.04,0.78,4b,93,NP.non.ma,np,non,matrix,NP.non.ma.08,175,1.69064702
2,F,22,2.7,1.04,1.04,0.78,4b,5,NP.non.ma,np,non,matrix,NP.non.ma.12,95,-0.272190336
2,F,22,2.7,1.04,1.04,0.78,4b,30,NP.non.ma,np,non,matrix,NP.non.ma.16,65,-1.008254345
2,F,22,2.7,1.04,1.04,0.78,4b,10,SUB.isl.em,sub,island,embedded,SUB.isl.em.01,175,1.69064702
2,F,22,2.7,1.04,1.04,0.78,4b,41,SUB.isl.em,sub,island,embedded,SUB.isl.em.05,165,1.44529235
2,F,22,2.7,1.04,1.04,0.78,4b,62,SUB.isl.em,sub,island,embedded,SUB.isl.em.09,100,-0.149513002
2,F,22,2.7,1.04,1.04,0.78,4b,89,SUB.isl.em,sub,island,embedded,SUB.isl.em.13,70,-0.88557701
2,F,22,2.7,1.04,1.04,0.78,4b,20,SUB.isl.ma,sub,island,matrix,SUB.isl.ma.02,150,1.077260346
2,F,22,2.7,1.04,1.04,0.78,4b,26,SUB.isl.ma,sub,island,matrix,SUB.isl.ma.06,115,0.218519003
2,F,22,2.7,1.04,1.04,0.78,4b,55,SUB.isl.ma,sub,island,matrix,SUB.isl.ma.10,80,-0.640222341
2,F,22,2.7,1.04,1.04,0.78,4b,75,SUB.isl.ma,sub,island,matrix,SUB.isl.ma.14,120,0.341196337
2,F,22,2.7,1.04,1.04,0.78,4b,2,SUB.non.em,sub,non,embedded,SUB.non.em.03,85,-0.517545006
2,F,22,2.7,1.04,1.04,0.78,4b,37,SUB.non.em,sub,non,embedded,SUB.non.em.07,75,-0.762899675
2,F,22,2.7,1.04,1.04,0.78,4b,52,SUB.non.em,sub,non,embedded,SUB.non.em.11,115,0.218519003
2,F,22,2.7,1.04,1.04,0.78,4b,82,SUB.non.em,sub,non,embedded,SUB.non.em.15,70,-0.88557701
2,F,22,2.7,1.04,1.04,0.78,4b,12,SUB.non.ma,sub,non,matrix,SUB.non.ma.04,120,0.341196337
2,F,22,2.7,1.04,1.04,0.78,4b,43,SUB.non.ma,sub,non,matrix,SUB.non.ma.08,175,1.69064702
2,F,22,2.7,1.04,1.04,0.78,4b,57,SUB.non.ma,sub,non,matrix,SUB.non.ma.12,95,-0.272190336
2,F,22,2.7,1.04,1.04,0.78,4b,86,SUB.non.ma,sub,non,matrix,SUB.non.ma.16,95,-0.272190336
2,F,22,2.7,1.04,1.04,0.78,4b,71,WH.isl.em,wh,island,embedded,WH.isl.em.01,80,-0.640222341
2,F,22,2.7,1.04,1.04,0.78,4b,84,WH.isl.em,wh,island,embedded,WH.isl.em.05,90,-0.394867671
2,F,22,2.7,1.04,1.04,0.78,4b,19,WH.isl.em,wh,island,embedded,WH.isl.em.09,110,0.095841668
2,F,22,2.7,1.04,1.04,0.78,4b,48,WH.isl.em,wh,island,embedded,WH.isl.em.13,120,0.341196337
2,F,22,2.7,1.04,1.04,0.78,4b,61,WH.isl.ma,wh,island,matrix,WH.isl.ma.02,120,0.341196337
2,F,22,2.7,1.04,1.04,0.78,4b,95,WH.isl.ma,wh,island,matrix,WH.isl.ma.06,175,1.69064702
2,F,22,2.7,1.04,1.04,0.78,4b,15,WH.isl.ma,wh,island,matrix,WH.isl.ma.10,200,2.304033693
2,F,22,2.7,1.04,1.04,0.78,4b,38,WH.isl.ma,wh,island,matrix,WH.isl.ma.14,110,0.095841668
2,F,22,2.7,1.04,1.04,0.78,4b,63,WH.non.em,wh,non,embedded,WH.non.em.03,95,-0.272190336
2,F,22,2.7,1.04,1.04,0.78,4b,77,WH.non.em,wh,non,embedded,WH.non.em.07,70,-0.88557701
2,F,22,2.7,1.04,1.04,0.78,4b,3,WH.non.em,wh,non,embedded,WH.non.em.11,80,-0.640222341
2,F,22,2.7,1.04,1.04,0.78,4b,28,WH.non.em,wh,non,embedded,WH.non.em.15,45,-1.498963684
2,F,22,2.7,1.04,1.04,0.78,4b,66,WH.non.ma,wh,non,matrix,WH.non.ma.04,195,2.181356359
