"sentence_id","condition","all_exposures","first_three_exposures","mean_surprisal","weight_first","weight_last","weight_sum","normalized","wh","matrix","comp","embedded","gap","matrix_norm","comp_norm","embedded_norm","gap_norm"
15,"SUBJ",0.279466292134831,0.2405,3.32113968680302,6.21029862621799,1.19678462888623,3.70354162755211,0.492354087095155,7.73092365264893,2.54100292921066,"5.542286396026611",2.93109705961413,15.7133207321167,0.365346112122255,"0.7513356529020906",0.50062392933261,2.52616044806102
16,"POLAR",0.898633879781421,0.892903225806452,1.70787336198347,7.29365705761663,1.58358068762631,4.43861887262147,0.222091623663809,0,0,"0",0,0,0,"0",0,0
18,"WH",0.476134969325153,0.45625730994152,4.12585509432988,6.86762442012759,6.72137728526202,6.7945008526948,0.54762398357991,8.47952079772949,4.02956110835075,"5.398460865020752",2.83965470828116,10.3296537399292,0.396754575405326,"0.40276756850428647",0.726440810853599,2.77014222043262
19,"SUBJ",0.429265536723164,0.383068181818182,2.57164319054573,6.01104955811679,1.13252886705053,3.57178921258366,0.363883442423644,7.38254451751709,2.05150259137154,"4.752338886260986",2.0837660764551,14.0033798217773,0.268344639070286,"0.644247046215572",0.355471663730865,2.25126087909901
20,"POLAR",0.931,0.916818181818182,1.59686768866543,7.71955146763857,1.01636083957846,4.36795615360851,0.195756275668699,0,0,"0",0,0,0,"0",0,0
22,"WH",0.522679738562091,0.481158536585366,4.41545010060072,6.48583791157795,2.50802836453828,4.49693313805812,0.476212008956539,7.78356266021729,6.07894951105118,"6.372279644012451",1.42071516439319,3.53692674636841,0.574961414025136,"0.47542209570845695",0.328833782920309,0.948510991498121
23,"SUBJ",0.314985074626866,0.268284023668639,2.803384816141,6.2922390730533,1.06453024627994,3.67838465966662,0.429478922854075,7.81033277511597,2.41823497314293,"None",0,13.1686344146729,0.410682935034705,"None",0,2.11706258533428
24,"POLAR",0.930903790087464,0.913081081081081,1.74718201732529,7.37017005923969,1.15607978384402,4.26312492154186,0.231624245685184,0,0,"0",0,0,0,"0",0,0
26,"WH",0.517729885057471,0.472321428571429,4.42195171126249,6.95340047862041,5.96742139886666,6.46041093874353,0.563500961950163,8.62637805938721,5.19636929035187,"7.3662190437316895",2.37267891187221,9.22848033905029,0.506924946090924,"0.5495777792032541",0.575400591901745,2.47483639444925
27,"SUBJ",0.334603658536585,0.26,3.05331597279292,6.61800094601526,1.16616572309431,3.89208333455479,0.390000008095533,8.07401943206787,3.05007115006447,"5.40885591506958",2.31698956172913,16.8428401947021,0.383854180448728,"0.7332472557382841",0.327476014849884,1.95839824105973
28,"POLAR",0.919673913043478,0.908780487804878,1.69737933799624,7.4988811529666,1.21681227900685,4.35784671598673,0.225461714378431,0,0,"0",0,0,0,"0",0,0
30,"WH",0.473863636363636,0.404513888888889,4.92330179760465,6.55954025170619,7.92597961164273,7.24275993167446,0.658241645724649,7.73207759857178,5.25305396193289,"6.283118724822998",3.55140145123005,12.0858478546143,0.466088852713872,"0.4687699910576242",0.895553914759665,3.24110742283424
31,"SUBJ",0.414023668639053,0.353465909090909,3.52653931729947,6.00652025878667,1.12325724168845,3.56488875023756,0.44375902475296,7.2907338142395,2.29835786692274,"5.872963905334473",3.40674998895265,16.0922794342041,0.306568039765769,"0.7961636867860808",0.444870954101709,2.58708394736343
32,"POLAR",0.919831460674157,0.927673267326733,1.72134592242323,7.49393187141036,1.22052372077762,4.35722779609399,0.209305551563156,0,0,"0",0,0,0,"0",0,0
34,"WH",0.572877492877493,0.521857923497268,3.66750937715794,6.4182240812436,3.7704316505971,5.09432786592035,0.447903309631408,7.69363832473755,4.74032732844353,"8.668777465820312",1.44773123692721,5.85729074478149,0.477838731224618,"0.646758865001011",0.358827805002437,1.5707717604075
35,"SUBJ",0.454184615384615,0.404430379746835,3.44124718296986,6.23489080614153,1.54668458526563,3.89078769570358,0.494419322465874,7.72342300415039,2.29090276360512,"6.028627395629883",3.11722170348678,14.0102844238281,0.329803016216028,"0.8172660842006151",0.51780633015527,2.25237090115657
36,"POLAR",0.904438502673797,0.891428571428571,1.61090141140363,7.59834038061403,1.42403006141707,4.51118522101555,0.22960812081693,0,0,"0",0,0,0,"0",0,0
38,"WH",0.485109034267913,0.453620689655172,3.12792953013975,7.26395560514829,5.63185595848396,6.44790578181612,0.39657098636008,9.21683216094971,4.55926519632339,"6.523416519165039",1.22671299456852,8.8746919631958,0.424265092148091,"0.4866980933008392",0.321633074267897,2.37995963074279
39,"SUBJ",0.499135446685879,0.441129032258064,2.76892921278874,6.43869877838218,1.75431121382892,4.09650499610555,0.404308796344045,8.1700382232666,2.38313571204032,"None",0,9.8212890625,0.382840859975018,"None",0,1.46885954662569
40,"POLAR",0.936450704225352,0.941761658031088,1.40404917877715,8.32673741444877,1.3098115493733,4.81827448191104,0.197600736412656,0,0,"0",0,0,0,"0",0,0
42,"WH",0.505780346820809,0.453757225433526,4.39634482860565,7.44475641911372,4.46551018401542,5.95513330156457,0.521887569705625,9.36286544799805,5.10417574644089,"5.52173376083374",2.1655365228653,6.59833955764771,0.483111701819572,"0.41196469445379336",0.516673650440891,1.76950161676145
43,"SUBJ",0.418625,0.343928571428571,3.47108437754214,6.74652262622949,1.18805806731865,3.96729034677407,0.440710533442804,8.63130760192871,2.01462876796722,"5.721858024597168",3.29495388497081,16.2093944549561,0.290940089565895,"0.7756791380910691",0.436284795194224,2.60591200658409
44,"POLAR",0.934942857142857,0.938834355828221,1.83438012852835,7.43607387112351,1.47678246097069,4.4564281660471,0.231460870763145,0,0,"0",0,0,0,"0",0,0
46,"WH",0.509432835820895,0.445,3.0224922709167,7.16750730456881,1.61684607340422,4.39217668898652,0.31228326314074,8.92834854125977,5.2352928519249,"7.434067249298096",0.892644096165895,2.35511589050293,0.463377157414531,"0.5546397880733055",0.167313149171452,0.631580314940805
47,"SUBJ",0.488932926829268,0.433396226415094,3.06541253521573,6.89346955582808,1.58361939078299,4.23854447330553,0.383689289823077,8.69455718994141,2.6298671066761,"5.088752746582031",2.47438222002238,16.3249931335449,0.30276187065511,"0.6898527239681389",0.348801630235285,1.89818566634046
