"sentence_id","mean_surprisal","weight_first","weight_last","weight_sum","normalized","wh","matrix","comp","embedded","gap"
43,8.420848979304234,7.055667593432062,10.819434943551919,8.93755126849199,0.5970034174244866,8.227356910705566,3.152707550674677,8.601659774780273,3.8657233715057373,11.275293350219727
44,6.432495042681694,6.997193256843189,6.564711272135775,6.780952264489481,0.5016742304418864,0,0,0,0,0
45,8.25185785974775,7.3112106696582755,11.51412521742599,9.412667943542132,0.559832705469251,8.227356910705566,3.752237456185477,4.202836513519287,3.6117494446890697,10.810591697692871
46,8.965524474779764,7.3932819840983495,12.400718107824055,9.897000045961201,0.5750271271896449,0,0,0,0,0
47,7.534037057091208,7.298851283978251,5.45773960052301,6.3782954422506295,0.5280846076808942,0,0,0,0,0
48,8.609480559825897,7.0324761414757315,12.680062793967197,9.856269467721464,0.6072338825880119,0,0,0,0,0
49,9.238944578170777,7.117926378302607,11.986867753825143,9.552397066063875,0.6083047515447749,0,0,0,0,0
50,7.611825621128082,6.98134860679981,8.874993430769539,7.928171018784675,0.5377498264441525,8.227356910705566,1.4955534140268962,6.915661811828613,5.106737625598908,15.929097175598145
51,8.010907276471455,9.03058827624822,10.766301955196287,9.898445115722255,0.5667163859195425,0,0,0,0,0
52,8.59035030236611,9.118779804001859,10.442621741774573,9.780700772888217,0.5813235242634565,10.729805946350098,2.867848818118756,6.652110576629639,4.385430982479682,10.251728057861328
53,8.512248121775114,9.024158278831555,10.202048987682836,9.613103633257197,0.6241649088426118,0,0,0,0,0
54,7.016184947992626,8.974903590811007,10.364724907701458,9.66981424925623,0.4983833044498078,10.729805946350098,2.7787385865261682,2.4307360649108887,3.5447862556106164,10.439719200134277
55,7.676776258150737,8.994546975325024,12.124791651138878,10.559669313231952,0.524941826741564,0,0,0,0,0
56,8.280785237039838,8.961874992500922,9.215017307576696,9.08844615003881,0.5626049750231521,0,0,0,0,0
57,7.3772571086883545,7.1871819954254486,8.551688037257426,7.869435016341437,0.5511908596082022,0,0,0,0,0
58,7.394935329755147,7.245135581707302,7.3363198175692075,7.290727699638254,0.5247721007267611,0,0,0,0,0
59,7.070851578431971,7.145726214918551,6.442456990865579,6.794091602892064,0.49952325828735733,8.227356910705566,1.6654418075785917,8.034557342529297,4.448826579486623,14.923982620239258
60,7.776139344487872,7.135376829297519,9.793884528644364,8.464630678970943,0.5645469982860947,0,0,0,0,0
61,8.256383697191874,7.208694537019592,9.784377838259738,8.496536187639665,0.5708705503969183,8.227356910705566,3.017495095729828,8.560694694519043,3.8398843010266623,9.760310173034668
62,6.913445850213368,7.110912131819558,8.844852156214289,7.977882144016926,0.5315438671757506,0,0,0,0,0
63,8.122306530292217,7.126759034490646,11.493663958300091,9.310211496395368,0.5991427720672006,8.227356910705566,3.732709554525522,4.435990333557129,3.415493341592642,12.520615577697754
64,8.837763764641501,7.217310368281937,10.614232632767786,8.915771500524862,0.6188813500805505,0,0,0,0,0
65,7.591358584468253,7.09964823236952,8.226564480772044,7.663106356570782,0.5539554305504331,0,0,0,0,0
66,7.515153628129226,7.166530019802706,9.122042828499703,8.144286424151204,0.5360168697435316,0,0,0,0,0
67,8.363759994506836,7.246880560234454,10.159644283975684,8.70326242210507,0.567804500125021,0,0,0,0,0
68,7.647450014948845,7.147635854259747,8.398009315242081,7.772822584750914,0.5623281020938967,8.227356910705566,1.7637462466955185,6.906184196472168,4.937857449054718,14.679437637329102
69,7.330056651433309,7.135728505761839,9.165293803789412,8.150511154775625,0.5566732542507148,0,0,0,0,0
70,8.401457841579731,7.231454449406441,10.968685292836346,9.100069871121393,0.612481511516416,8.227356910705566,2.8614922853616567,7.546005725860596,4.3266299687899075,12.427969932556152
71,8.291599071942843,7.110591881307908,9.341231548847327,8.225911715077617,0.6148394095164954,0,0,0,0,0
72,7.800102636218071,7.641756273459161,8.109496350552922,7.875626312006043,0.5781958003417964,8.227356910705566,3.121814578771591,4.197661876678467,3.9017243832349777,9.346247673034668
73,8.751205035618373,7.739232094874082,10.602446279025653,9.170839186949868,0.6262758651189078,0,0,0,0,0
74,7.783425681731281,7.594301721993539,8.855511692655437,8.224906707324488,0.5676307958899249,0,0,0,0,0
75,8.136849149068196,7.171187429947175,11.153364059128359,9.162275744537768,0.5920433537025069,0,0,0,0,0
76,8.731539983015795,7.264961004180863,9.832107133382078,8.548534068781471,0.6072846499485846,0,0,0,0,0
77,8.47570652621133,7.140746808102819,9.567977249865814,8.354362028984319,0.6423655505127824,8.227356910705566,2.113307697432382,7.366802215576172,5.248530319758824,11.93802261352539
78,7.353140386442344,7.746525484693337,8.318424628485097,8.032475056589218,0.5321316237509659,0,0,0,0,0
79,8.35309866299996,7.836121810449138,9.920286911214543,8.878204360831843,0.5778151559249041,8.227356910705566,3.146339022196256,10.954222679138184,3.731253518508031,12.979098320007324
80,7.8882815797741594,7.70130210090151,8.462792316915992,8.082047208908753,0.5727123945102887,0,0,0,0,0
81,6.030548397647707,7.276059852190805,5.513903438359802,6.394981645275304,0.42367116305358826,8.227356910705566,2.8860638455340735,3.3376388549804688,2.5358005644459474,7.816854000091553
82,6.47117730186266,7.342925503996334,6.320001002216741,6.831463253106538,0.4358563507317829,0,0,0,0,0
83,7.516418785788119,7.239160823832533,8.4766184488257,7.857889636329117,0.51194330913774,0,0,0,0,0
84,7.663539158446448,9.042703505709191,10.26753485200662,9.655119178857905,0.559709453939025,0,0,0,0,0
85,8.47653012474378,7.244913824522277,10.614790979359395,8.929852401940835,0.5983449340721374,0,0,0,0,0
86,8.851161411175362,7.126970011857918,11.164886943294855,9.145928477576387,0.6518906518587888,8.227356910705566,2.1027466700627255,7.041718482971191,5.573870480060577,18.31718635559082
