"test_match_cond","speaker_identity","trial_sequence_total","list_number","phase","condition","Answer.time_in_minutes","wrong_attempts","block_sequence","workerid","item_number","island_tested","response","Answer.condition","comp_question_exist","first_response_value","comp_answer"
"mismatch","Iron-Head",37,"1","exposure","UNGRAM",15.5312,NA,12,2,"130","CNPC",0,"undefined",0,NA,"/"
"mismatch","Thomas",38,"1","exposure","CNPC",15.5312,NA,12,2,"43","CNPC",0.32,"undefined",1,NA,"Thomas"
"mismatch","Emily",39,"1","exposure","FILL",15.5312,NA,12,2,"115","CNPC",1,"undefined",1,NA,"Emily"
"mismatch","Iron-Head",40,"1","exposure","UNGRAM",15.5312,NA,13,2,"122","CNPC",0,"undefined",0,NA,"/"
"mismatch","Thomas",41,"1","exposure","CNPC",15.5312,NA,13,2,"19","CNPC",0.12,"undefined",0,NA,"/"
"mismatch","Emily",42,"1","exposure","FILL",15.5312,NA,13,2,"107","CNPC",1,"undefined",0,NA,"/"
"mismatch","Emily",43,"1","exposure","FILL",15.5312,NA,14,2,"112","CNPC",1,"undefined",1,NA,"Emily"
"mismatch","Thomas",44,"1","exposure","CNPC",15.5312,NA,14,2,"34","CNPC",1,"undefined",0,NA,"/"
"mismatch","Iron-Head",45,"1","exposure","UNGRAM",15.5312,NA,14,2,"127","CNPC",0,"undefined",0,NA,"/"
"mismatch","Thomas",46,"2","test","FILL",15.5312,NA,4,2,"133","CNPC",1,"undefined",0,NA,"/"
"mismatch","Iron-Head",47,"2","test","UNGRAM",15.5312,NA,4,2,"142","CNPC",0,"undefined",0,NA,"/"
"mismatch","Emily",48,"2","test","CNPC",15.5312,NA,4,2,"8","CNPC",0.56,"undefined",0,NA,"/"
"mismatch","Emily",49,"2","test","CNPC",15.5312,NA,5,2,"14","CNPC",0.39,"undefined",0,NA,"/"
"mismatch","Iron-Head",50,"2","test","UNGRAM",15.5312,NA,5,2,"144","CNPC",0,"undefined",0,NA,"/"
"mismatch","Thomas",51,"2","test","FILL",15.5312,NA,5,2,"135","CNPC",1,"undefined",0,NA,"/"
"mismatch","Thomas",52,"2","test","FILL",15.5312,NA,6,2,"132","CNPC",1,"undefined",0,NA,"/"
"mismatch","Iron-Head",53,"2","test","UNGRAM",15.5312,NA,6,2,"141","CNPC",0,"undefined",1,NA,"Iron-Head"
"mismatch","Emily",54,"2","test","CNPC",15.5312,NA,6,2,"5","CNPC",0.46,"undefined",0,NA,"/"
"mismatch","Emily",55,"2","test","CNPC",15.5312,NA,7,2,"11","CNPC",0.33,"undefined",0,NA,"/"
"mismatch","Thomas",56,"2","test","FILL",15.5312,NA,7,2,"134","CNPC",0.96,"undefined",1,NA,"Thomas"
"mismatch","Iron-Head",57,"2","test","UNGRAM",15.5312,NA,7,2,"143","CNPC",0,"undefined",1,NA,"Iron-Head"
"mismatch","Iron-Head",58,"2","test","UNGRAM",15.5312,NA,8,2,"145","CNPC",0,"undefined",0,NA,"/"
"mismatch","Emily",59,"2","test","CNPC",15.5312,NA,8,2,"17","CNPC",0.51,"undefined",0,NA,"/"
"mismatch","Thomas",60,"2","test","FILL",15.5312,NA,8,2,"136","CNPC",1,"undefined",1,NA,"Thomas"
"mismatch","Emily",61,"2","test","CNPC",15.5312,NA,9,2,"2","CNPC",0.35,"undefined",0,NA,"/"
"mismatch","Thomas",62,"2","test","FILL",15.5312,NA,9,2,"131","CNPC",1,"undefined",0,NA,"/"
"mismatch","Iron-Head",63,"2","test","UNGRAM",15.5312,NA,9,2,"140","CNPC",0,"undefined",0,NA,"/"
"mismatch","Iron-Head",1,"1","exposure","UNGRAM",14.16215,NA,2,5,"118","WH",0,"undefined",0,NA,"/"
"mismatch","Thomas",2,"1","exposure","WH",14.16215,NA,2,5,"9","WH",0.68,"undefined",0,NA,"/"
"mismatch","Gregory",3,"1","exposure","FILL",14.16215,NA,2,5,"103","WH",1,"undefined",1,NA,"Thomas"
"mismatch","Thomas",4,"1","exposure","WH",14.16215,NA,15,5,"36","WH",1,"undefined",0,NA,"/"
"mismatch","Iron-Head",5,"1","exposure","UNGRAM",14.16215,NA,15,5,"127","WH",0.1,"undefined",0,NA,"/"
"mismatch","Gregory",6,"1","exposure","FILL",14.16215,NA,15,5,"112","WH",1,"undefined",1,NA,"Gregory"
"mismatch","Gregory",7,"1","exposure","FILL",14.16215,NA,16,5,"101","WH",0.94,"undefined",1,NA,"Gregory"
"mismatch","Iron-Head",8,"1","exposure","UNGRAM",14.16215,NA,16,5,"116","WH",0.15,"undefined",1,NA,"Iron-Head"
"mismatch","Thomas",9,"1","exposure","WH",14.16215,NA,16,5,"3","WH",1,"undefined",0,NA,"/"
"mismatch","Thomas",10,"1","exposure","WH",14.16215,NA,17,5,"12","WH",0.53,"undefined",1,NA,"Thomas"
"mismatch","Iron-Head",11,"1","exposure","UNGRAM",14.16215,NA,17,5,"119","WH",0.13,"undefined",1,NA,"Iron-Head"
"mismatch","Gregory",12,"1","exposure","FILL",14.16215,NA,17,5,"104","WH",1,"undefined",0,NA,"/"
"mismatch","Iron-Head",13,"1","exposure","UNGRAM",14.16215,NA,18,5,"126","WH",0.18,"undefined",1,NA,"Iron-Head"
"mismatch","Gregory",14,"1","exposure","FILL",14.16215,NA,18,5,"111","WH",1,"undefined",0,NA,"/"
"mismatch","Thomas",15,"1","exposure","WH",14.16215,NA,18,5,"33","WH",0.71,"undefined",1,NA,"Thomas"
"mismatch","Gregory",16,"1","exposure","FILL",14.16215,NA,19,5,"113","WH",1,"undefined",0,NA,"/"
"mismatch","Thomas",17,"1","exposure","WH",14.16215,NA,19,5,"39","WH",0.58,"undefined",1,NA,"Thomas"
"mismatch","Iron-Head",18,"1","exposure","UNGRAM",14.16215,NA,19,5,"128","WH",0.14,"undefined",0,NA,"/"
"mismatch","Iron-Head",19,"1","exposure","UNGRAM",14.16215,NA,20,5,"121","WH",0.1,"undefined",0,NA,"/"
"mismatch","Thomas",20,"1","exposure","WH",14.16215,NA,20,5,"18","WH",0.72,"undefined",0,NA,"/"
"mismatch","Gregory",21,"1","exposure","FILL",14.16215,NA,20,5,"106","WH",0.9,"undefined",1,NA,"Gregory"
"mismatch","Iron-Head",22,"1","exposure","UNGRAM",14.16215,NA,21,5,"125","WH",0.1,"undefined",1,NA,"Iron-Head"
"mismatch","Gregory",23,"1","exposure","FILL",14.16215,NA,21,5,"110","WH",1,"undefined",1,NA,"Gregory"
"mismatch","Thomas",24,"1","exposure","WH",14.16215,NA,21,5,"30","WH",0.88,"undefined",0,NA,"/"
"mismatch","Gregory",25,"1","exposure","FILL",14.16215,NA,22,5,"115","WH",1,"undefined",1,NA,"Gregory"
"mismatch","Iron-Head",26,"1","exposure","UNGRAM",14.16215,NA,22,5,"130","WH",0.02,"undefined",0,NA,"/"
"mismatch","Thomas",27,"1","exposure","WH",14.16215,NA,22,5,"45","WH",0.82,"undefined",0,NA,"/"
