"#Data from Experiment 1 of Sprouse, Jon, Matt Wagers, & Colin Phillips. 2012. A test of the relation between working memory capacity and syntactic island effects. Language 88(1): 82-123.",,,,,,,,,,,
#This data is provided in the spirit of open science so that other researchers can verify the analyses.,,,,,,,,,,,
#Please contact Jon Sprouse if you would like to discuss the possibility of using this data set for novel research.,,,,,,,,,,,
"#If you are using R to read this file, try adding skip=5 to the read function.",,,,,,,,,,,
,,,,,,,,,,,
subject,gender,age,recall,survey,condition,subdesign,structure,distance,item,raw.judgment,zscores
60,F,20,4,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.b,1,-1.051609411
61,F,20,3.75,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.a,1,-1.285901221
61,F,20,3.75,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.b,1,-1.285901221
62,F,19,4,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.a,1,-1.498150563
62,F,19,4,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.b,1,-1.498150563
63,M,21,3.75,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.a,1,-1.004529026
63,M,21,3.75,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.b,1,-1.004529026
64,F,23,4.75,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.a,1,-1.031939524
64,F,23,4.75,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.b,1,-1.031939524
65,F,24,4,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.a,1,-1.127922051
65,F,24,4,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.b,1,-1.127922051
66,M,23,5.5,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.a,7,1.935051383
66,M,23,5.5,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.b,2,-0.630762606
67,F,21,4.25,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.a,2,-1.367624789
67,F,21,4.25,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.b,3,-0.905329085
68,M,23,4.5,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.a,2,-0.735642048
68,M,23,4.5,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.b,5,0.481972376
69,M,20,3.5,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.a,1,-1.490470147
69,M,20,3.5,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.b,2,-0.91812961
70,F,20,2.75,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.a,1,-1.338161691
70,F,20,2.75,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.b,1,-1.338161691
71,F,22,4.5,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.a,1,-1.533232649
71,F,22,4.5,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.b,1,-1.533232649
72,F,21,4.5,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.a,4,-0.245245535
72,F,21,4.5,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.b,3,-0.83383482
73,F,21,4.5,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.a,1,-1.264373147
73,F,21,4.5,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.b,1,-1.264373147
74,F,21,3.5,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.a,2,-1.002888224
74,F,21,3.5,4,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.b,2,-1.002888224
75,F,22,3.5,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.a,1,-1.715535907
75,F,22,3.5,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.b,3,-0.820473694
76,F,21,4.75,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.a,1,-2.149563318
76,F,21,4.75,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.b,4,-0.400766042
77,F,21,5.25,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.a,1,-1.266493608
