sentence,condition,word,surprisal
9,B2_A1,3,1.3449807167053223
9,B2_A1,4,14.322677612304688
9,B2_A1,5,7.498925685882568
9,B2_A1,6,4.31260871887207
9,B2_A1,7,7.687901020050049
9,B2_A1,8,1.0554001331329346
9,B2_A1,9,2.149747133255005
9,B2_A1,10,9.986529350280762
9,B2_A1,11,4.677867412567139
9,B2_A1,12,6.036135196685791
9,B2_A1,13,8.056493759155273
9,B2_A1,14,5.480849742889404
10,B2_A1,1,10.909401893615723
10,B2_A1,2,5.630332946777344
10,B2_A1,3,1.7240923643112183
10,B2_A1,4,12.61462116241455
10,B2_A1,5,2.6579859256744385
10,B2_A1,6,4.980434894561768
10,B2_A1,7,3.9925827980041504
10,B2_A1,8,10.337169647216797
10,B2_A1,9,0.7443364262580872
10,B2_A1,10,2.236346960067749
10,B2_A1,11,12.39021110534668
10,B2_A1,12,0.2908708453178406
10,B2_A1,13,5.707017421722412
10,B2_A1,14,7.834930896759033
10,B2_A1,15,3.2003414630889893
10,B2_A1,16,4.523359298706055
10,B2_A1,17,8.717744827270508
10,B2_A1,18,11.161177635192871
10,B2_A1,19,6.021499156951904
