"#Data from Sprouse, Jon, Carson T. Schütze, & Diogo Almeida. 2013. A comparison of informal and formal acceptability judgments using a random sample from Linguistic Inquiry 2001-2010. Lingua 134: 219-248.",,,,,,
#This data is provided in the spirit of open science so that other researchers can verify the analyses.,,,,,,
#Please contact Jon Sprouse if you would like to discuss the possibility of using this data set for novel research.,,,,,,
"#If you are using R to read this file, try adding skip=5 to the read function.",,,,,,
,,,,,,
participant,survey,order,judgment,item,condition,zscores
2,1.1,78,65,32.1.martin.1a.g.08,32.1.martin.1a.g,-0.426245524
2,1.1,79,45,32.3.fanselow.59b.*.01,32.3.fanselow.59b.*,-1.008991343
2,1.1,80,150,41.4.Haegeman.4c.g.06,41.4.Haegeman.4c.g,2.050424206
2,1.1,81,50,38.4.kallulli.10b.*.05,38.4.kallulli.10b.*,-0.863304888
2,1.1,82,75,35.3.hazout.67a.g.08,35.3.hazout.67a.g,-0.134872615
2,1.1,83,80,41.4.Haegeman.18a.*.07,41.4.Haegeman.18a.*,0.01081384
2,1.1,84,100,34.4.haegeman.2a.*.01,34.4.haegeman.2a.*,0.593559659
2,1.1,85,60,38.4.kallulli.10a.g.06,38.4.kallulli.10a.g,-0.571931979
2,1.1,86,200,34.1.phillips.96a.*.03,34.1.phillips.96a.*,3.507288753
2,1.1,87,20,35.1.mcginnis.32b.*.01,35.1.mcginnis.32b.*,-1.737423617
2,1.1,88,110,32.3.Culicover.49a.g.08,32.3.Culicover.49a.g,0.884932568
2,1.1,89,65,32.1.martin.93b.*.03,32.1.martin.93b.*,-0.426245524
2,1.1,90,95,35.3.hazout.67c.*.07,35.3.hazout.67c.*,0.447873204
2,1.1,91,NA,32.2.stroik.4b.*.05,32.2.stroik.4b.*,NA
2,1.1,92,110,34.4.haegeman.2a.g.02,34.4.haegeman.2a.g,0.884932568
2,1.1,93,60,33.2.bowers.13a.g.06,33.2.bowers.13a.g,-0.571931979
2,1.1,94,112,38.3.hirose.4a.*.03,38.3.hirose.4a.*,0.94320715
2,1.1,95,98,35.1.bhatt.94b.g.04,35.1.bhatt.94b.g,0.535285077
2,1.1,96,100,38.3.hirose.3a.g.04,38.3.hirose.3a.g,0.593559659
2,1.1,97,130,41.2.Bruening.33a.*.05,41.2.Bruening.33a.*,1.467678387
2,1.1,98,NA,34.1.phillips.96a.g.04,34.1.phillips.96a.g,NA
2,1.1,99,85,32.1.martin.92b.g.04,32.1.martin.92b.g,0.156500295
2,1.1,100,65,41.3.Vicente.4a1.g.08,41.3.Vicente.4a1.g,-0.426245524
2,1.1,101,110,33.4.neeleman.18d.*.03,33.4.neeleman.18d.*,0.884932568
2,1.1,102,50,34.1.basilico.44a.?.02,34.1.basilico.44a.?,-0.863304888
2,1.1,103,100,32.3.fanselow.58a.g.02,32.3.fanselow.58a.g,0.593559659
2,1.1,104,75,40.1.caponigro.23a.*.03,40.1.caponigro.23a.*,-0.134872615
2,1.1,105,60,37.2.Sigurdsson.3d.*.07,37.2.Sigurdsson.3d.*,-0.571931979
2,1.1,106,NA,34.1.basilico.62.g.08,34.1.basilico.62.g,NA
3,1.1,7,40,34.1.fox.26.*.03,34.1.fox.26.*,-0.582374381
3,1.1,8,200,35.3.richards.17b.*.07,35.3.richards.17b.*,1.568592861
3,1.1,9,150,32.1.martin.69a.g.02,32.1.martin.69a.g,0.896415598
3,1.1,10,20,41.3.Vicente.5a.*.05,41.3.Vicente.5a.*,-0.851245286
3,1.1,11,150,32.2.nunes.3a.g.02,32.2.nunes.3a.g,0.896415598
3,1.1,12,30,33.1.fox.65b.*.05,33.1.fox.65b.*,-0.716809833
3,1.1,13,10,41.3.Vicente.4a3.*.07,41.3.Vicente.4a3.*,-0.985680739
3,1.1,14,20,41.4.Haegeman.18a.g.08,41.4.Haegeman.18a.g,-0.851245286
3,1.1,15,150,33.1.denDikken.58a.g.04,33.1.denDikken.58a.g,0.896415598
3,1.1,16,90,34.1.basilico.96b.g.08,34.1.basilico.96b.g,0.089802882
3,1.1,17,200,33.2.bowers.69a.g.02,33.2.bowers.69a.g,1.568592861
